Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
Brazil,Campeonato Brasileiro S̩rie A,(GRE),Diego Souza,26,1,1953,11,11.72,0.57,74,30,3.6,1.46,2017
Brazil,Campeonato Brasileiro S̩rie A,(SAN),Marinho ,17,2,1662,13,7.52,0.43,58,26,3.32,1.49,2020
Italy,Serie A,(CRZ),Diego Falcinelli,35,1,3308,13,11.49,0.33,99,65,2.84,1.87,2016
Brazil,Campeonato Brasileiro S̩rie A,(FLA),Gabriel Barbosa,29,0,2716,25,24.59,0.86,117,62,4.09,2.17,2019
France,France Ligue 15,(LYO),Memphis Depay,12,1,1077,9,4.53,0.4,48,21,4.23,1.85,2019
Germany,Bundesliga,(BSC),Jhon Cordoba,23,6,2108,13,8.88,0.4,61,25,2.75,1.13,2019
Germany,Bundesliga,(DOR),Jadon Sancho,26,8,2602,13,6.85,0.25,40,21,1.46,0.77,2018
Spain,La Liga,None,Charles,17,17,1861,14,13.91,0.71,63,30,3.22,1.53,2018
Spain,La Liga,(BAR),Lionel Messi,32,1,3067,25,21.63,0.67,159,68,4.93,2.11,2019
Portugal ,Primeira Liga,None,Fabio Martins,29,0,2633,12,9.15,0.33,69,36,2.49,1.3,2019
